drug_a,drug_b,label
DB01628,DB04076,1
DB00818,DB12001,1
DB01263,DB06282,1
DB11817,DB06512,0
DB06403,DB06738,0
DB00186,DB06268,0
DB00866,DB12887,0
DB04975,DB00788,0
DB00622,DB06595,1
DB09296,DB11614,0
DB01104,DB00799,0
DB01409,DB09128,1
DB00188,DB04356,1
DB08877,DB01190,0
DB01583,DB00966,0
DB01039,DB11574,0
DB00532,DB09291,1
DB00518,DB00932,1
DB11751,DB01126,0
DB00717,DB06691,0
DB00543,DB12332,1
DB06729,DB09167,1
DB01181,DB01624,1
DB06726,DB13179,0
DB00283,DB06267,0
DB04844,DB05812,1
DB00678,DB08798,1
DB06678,DB06756,0
DB00270,DB11574,1
DB08867,DB09099,0
DB06701,DB02703,0
DB00700,DB00951,1
DB00379,DB06144,1
DB00589,DB00173,0
DB00586,DB01559,1
DB00240,DB04552,0
DB00678,DB01138,1
DB01685,DB11682,1
DB00228,DB06789,0
DB00946,DB05246,0
DB00730,DB00857,1
DB00309,DB08873,1
DB04557,DB01224,0
DB00571,DB06803,1
DB12941,DB00706,0
DB09225,DB00213,0
DB04975,DB11837,1
DB00482,DB00496,1
DB00696,DB11967,0
DB01167,DB00228,0
DB00379,DB11837,1
DB11581,DB00960,0
DB12301,DB04846,0
DB09232,DB00764,0
DB00959,DB09227,1
DB00839,DB11575,0
DB01190,DB00947,0
DB01583,DB01054,0
DB00277,DB04844,1
DB01131,DB12597,1
DB00252,DB06739,1
DB00482,DB00501,1
DB00872,DB13874,1
DB06605,DB00982,0
DB00445,DB00543,0
DB01028,DB11942,0
DB03783,DB09048,1
DB00501,DB00805,1
DB00224,DB06595,1
DB00549,DB06401,0
DB00530,DB11886,1
DB08896,DB12543,0
DB01412,DB00907,0
DB00531,DB09030,1
DB00759,DB01228,0
DB01029,DB05812,1
DB03010,DB04835,0
DB04894,DB09143,1
DB00758,DB08811,0
DB02709,DB01222,0
DB00486,DB00501,1
DB06414,DB09185,1
DB02703,DB12329,1
DB00499,DB01656,1
DB00468,DB00918,1
DB08922,DB09291,1
DB00656,DB11979,1
DB01075,DB01098,1
DB00216,DB00675,1
DB12184,DB00414,0
DB08502,DB09173,0
DB01198,DB00180,0
DB00872,DB06636,1
DB09054,DB04840,0
DB01357,DB00377,0
DB01195,DB01392,1
DB00836,DB09143,0
DB11697,DB00396,0
DB06626,DB00708,0
DB00351,DB06678,0
DB00250,DB01264,1
DB00982,DB13879,0
DB01050,DB00627,0
DB00675,DB00714,1
DB01406,DB08901,1
DB00346,DB04839,1
DB01263,DB13003,1
DB00817,DB04076,1
DB00316,DB00751,1
DB00914,DB08880,0
DB00947,DB01032,1
DB00575,DB00309,0
DB00215,DB00392,0
DB00757,DB00814,0
DB00590,DB01029,1
DB01173,DB04574,1
DB01194,DB01559,0
DB00897,DB01369,0
DB00220,DB01047,1
DB12513,DB12466,0
DB00696,DB12235,1
DB05271,DB11837,1
DB02703,DB04825,1
DB00252,DB01645,1
DB00696,DB09083,1
DB01388,DB04871,1
DB03496,DB08995,0
DB00907,DB09167,1
DB00745,DB09185,1
DB00454,DB08846,0
DB00351,DB02489,0
DB00549,DB00796,1
DB00617,DB00745,1
DB01096,DB01211,0
DB00337,DB01228,0
DB01171,DB01130,0
DB00169,DB00264,1
DB01411,DB04574,1
DB12457,DB01274,0
DB00180,DB11672,1
DB00315,DB00978,1
DB00696,DB00814,1
DB09124,DB00475,0
DB00904,DB06268,1
DB09232,DB01129,0
DB06594,DB12713,0
DB09274,DB00379,0
DB01283,DB06210,1
DB00468,DB00476,1
DB00924,DB11689,1
DB01009,DB11757,1
DB01392,DB00759,0
DB00384,DB00910,0
DB01114,DB12693,1
DB00412,DB01028,1
DB01100,DB11581,1
DB00836,DB00865,0
DB00243,DB01029,0
DB00396,DB08807,1
DB01198,DB09291,0
DB00860,DB00726,0
DB00352,DB11679,0
DB09273,DB12267,0
DB01576,DB00711,0
DB00956,DB08868,0
DB00726,DB01138,1
DB00860,DB00593,0
DB00972,DB01036,1
DB00784,DB01254,1
DB00238,DB00622,1
DB00501,DB09555,1
DB01062,DB01357,1
DB06605,DB00831,0
DB00619,DB00799,1
DB04630,DB13179,1
DB00234,DB09273,0
DB02489,DB09288,1
DB00574,DB00307,0
DB00384,DB00487,1
DB01337,DB09123,0
DB00863,DB09225,1
DB00695,DB12026,0
DB01221,DB12235,0
DB00501,DB00794,1
DB00374,DB12612,1
DB00394,DB00486,0
DB01076,DB01283,0
DB00530,DB11672,1
DB08864,DB09079,1
DB11796,DB03783,0
DB00476,DB04557,1
DB00395,DB06414,1
DB04977,DB09237,0
DB00253,DB01048,0
DB01338,DB12329,0
DB00601,DB00744,0
DB01297,DB11574,0
DB00745,DB00279,0
DB00468,DB06702,1
DB00186,DB04911,0
DB00704,DB09237,0
DB02709,DB00214,0
DB00972,DB04356,1
DB01406,DB04845,1
DB00977,DB11837,1
DB00528,DB00762,1
DB00668,DB01087,0
DB01395,DB09297,0
DB00629,DB00439,0
DB09235,DB09013,0
DB13158,DB01275,0
DB06700,DB11886,1
DB00906,DB07615,0
DB05990,DB01221,0
DB00163,DB09291,0
DB01395,DB04856,0
DB04854,DB01369,0
DB00712,DB01039,1
DB04552,DB08907,1
DB00253,DB11737,0
DB01008,DB01173,1
DB00802,DB12582,0
DB01319,DB00841,0
DB00730,DB00708,0
DB09034,DB11672,1
DB00317,DB01406,1
DB11942,DB01191,0
DB01248,DB06712,1
